聯華食,1231,104.0,"2024-08-09 14:01:40"
卜蜂,1215,99.2,"2024-08-09 14:01:41"
大成,1210,53.0,"2024-08-09 14:01:43"
南僑,1702,57.4,"2024-08-09 14:01:45"
茂生,1240,51.0,"2024-08-09 14:01:46"
黑松,1234,42.05,"2024-08-09 14:01:48"
中華食,4205,90.8,"2024-08-09 14:01:49"
統一,1216,81.8,"2024-08-09 14:01:52"
興農,1712,43.90,"2024-08-09 14:01:54"
德記,5902,42.10,"2024-08-09 14:01:56"
三商餐飲無價格,1103,17.50,"2024-08-09 14:01:58"
佳格,1227,38.40,"2024-08-09 14:01:59"
大統益,1232,144.5,"2024-08-09 14:02:01"
